2025-04-16 12:27:47 - INFO - [info] - Logger created
2025-04-16 12:27:47 - INFO - [info] - Connecting to vehicle...
2025-04-16 12:28:01 - INFO - [info] - Connected to vehicle
2025-04-16 12:28:01 - INFO - [info] - Sufficient number of satellites - Counted: 4, Required: 3
2025-04-16 12:28:01 - INFO - [info] - Sufficient battery level - Measured: 100, Required: 25
2025-04-16 12:28:01 - INFO - [info] - Vehicle health validated
2025-04-16 12:28:01 - INFO - [info] - Current waypoint: 5, 5
2025-04-16 12:28:01 - INFO - [info] - Pixhawk connected, running main
2025-04-16 12:28:01 - INFO - [info] - Waiting to switch to guided mode
2025-04-16 12:32:01 - INFO - [info] - Switched to guided mode
2025-04-16 12:32:03 - INFO - [info] - Mission: [[5, 5]]
2025-04-16 12:32:03 - INFO - [info] - Beginning mission
2025-04-16 12:32:03 - INFO - [info] - Current position: 4.165376663208008, 1.2599263191223145
2025-04-16 12:32:03 - INFO - [info] - Yaw command - Current yaw: 235, Final yaw: 469.7804405151682
2025-04-16 12:32:03 - INFO - [info] - Command sent
2025-04-16 12:32:27 - INFO - [info] - Adjusting velocity - Velocity X: 1, Velocity Y: 0, Altitude: 0
2025-04-16 12:32:44 - INFO - [info] - Current position: 7.400394916534424, 0.9423531293869019
2025-04-16 12:32:44 - INFO - [info] - Current position: 7.400394916534424, 0.9423531293869019
2025-04-16 12:32:44 - INFO - [info] - Current position: 7.408670425415039, 0.9251734614372253
2025-04-16 12:32:44 - INFO - [info] - Current position: 7.408670425415039, 0.9251734614372253
2025-04-16 12:32:44 - INFO - [info] - Current position: 7.403758525848389, 0.9218766689300537
2025-04-16 12:32:44 - INFO - [info] - Current position: 7.403758525848389, 0.9218766689300537
2025-04-16 12:32:44 - INFO - [info] - Current position: 7.403758525848389, 0.9218766689300537
2025-04-16 12:32:44 - INFO - [info] - Current position: 7.3918280601501465, 0.9253146648406982
2025-04-16 12:32:44 - INFO - [info] - Current position: 7.3918280601501465, 0.9253146648406982
2025-04-16 12:32:44 - INFO - [info] - Current position: 7.370744705200195, 0.9102810025215149
2025-04-16 12:32:45 - INFO - [info] - Current position: 7.370744705200195, 0.9102810025215149
2025-04-16 12:32:45 - INFO - [info] - Current position: 7.370744705200195, 0.9102810025215149
2025-04-16 12:32:45 - INFO - [info] - Current position: 7.356905937194824, 0.877071738243103
